InventoryID,ProductID,Warehouse,StockAvailable,ReorderLevel,LastRestocked,Supplier,ProductName,Category,SubCategory,CostPrice,SellingPrice,InventoryValue,Contribution,Cumulative,ABC_Category
129,129,Delhi,497,66,2026-07-02,Andra-Naidu,Jeans 129,Clothing,Jeans,4660,8010.34,2316020,0.73,0.73,A
485,485,Delhi,471,47,2026-06-30,Murty Group,Football 485,Sports,Football,4799,8098.73,2260329,0.71,1.44,A
308,308,Hyderabad,448,45,2026-06-14,"Sabharwal, Chadha and Bhardwaj",Phone 308,Electronics,Phone,5000,6358.64,2240000,0.71,2.15,A
30,30,Mumbai,459,33,2026-06-22,Choudhry-Bera,Jacket 30,Clothing,Jacket,4851,8770.8,2226609,0.7,2.85,A
160,160,Bengaluru,485,71,2026-06-30,Vohra-Vig,Headphones 160,Electronics,Headphones,4434,8850.29,2150490,0.68,3.53,A
278,278,Hyderabad,463,31,2026-06-20,Banerjee Group,Jeans 278,Clothing,Jeans,4611,5555.77,2134893,0.67,4.21,A
422,422,Delhi,430,56,2026-05-28,Saini-Sane,Headphones 422,Electronics,Headphones,4953,9845.64,2129790,0.67,4.88,A
289,289,Mumbai,493,77,2026-04-29,Chaudhary LLC,Cricket Bat 289,Sports,Cricket Bat,4270,6067.2,2105110,0.66,5.54,A
240,240,Delhi,432,65,2026-05-12,Nigam PLC,Phone 240,Electronics,Phone,4842,6269.49,2091744,0.66,6.2,A
261,261,Hyderabad,424,41,2026-06-20,Rastogi LLC,Table 261,Home,Table,4868,6079.74,2064032,0.65,6.86,A
340,340,Bengaluru,419,55,2026-07-09,Mann and Sons,Gloves 340,Sports,Gloves,4907,8683.84,2056033,0.65,7.5,A
283,283,Hyderabad,457,55,2026-07-04,Peri-Rana,Cricket Bat 283,Sports,Cricket Bat,4487,6717.68,2050559,0.65,8.15,A
496,496,Bengaluru,426,31,2026-06-12,Dugar Inc,Table 496,Home,Table,4761,8990.12,2028186,0.64,8.79,A
21,21,Delhi,434,47,2026-05-14,Pai-Mani,Headphones 21,Electronics,Headphones,4620,7918.04,2005080,0.63,9.43,A
195,195,Delhi,414,57,2026-06-11,"Memon, Dalal and Mangat",Football 195,Sports,Football,4765,6237.06,1972710,0.62,10.05,A
454,454,Delhi,407,27,2026-04-28,"Chada, Maharaj and Saini",Table 454,Home,Table,4763,8367.43,1938541,0.61,10.66,A
443,443,Bengaluru,478,26,2026-06-11,Chander and Sons,Helmet 443,Sports,Helmet,4031,4859.41,1926818,0.61,11.27,A
106,106,Bengaluru,491,21,2026-06-22,"Kant, Peri and Pall",Football 106,Sports,Football,3792,5880.29,1861872,0.59,11.86,A
254,254,Delhi,383,38,2026-05-17,"Raghavan, Narayanan and Barad",Lamp 254,Home,Lamp,4859,8547.52,1860997,0.59,12.44,A
404,404,Hyderabad,390,27,2026-05-21,Virk-Kamdar,Jacket 404,Clothing,Jacket,4689,9341.95,1828710,0.58,13.02,A
5,5,Hyderabad,391,25,2026-07-05,Bora Group,Football 5,Sports,Football,4503,7217.95,1760673,0.56,13.58,A
248,248,Mumbai,429,66,2026-05-10,"Mandal, Kapadia and Mallick",Headphones 248,Electronics,Headphones,4088,6767.75,1753752,0.55,14.13,A
31,31,Delhi,385,75,2026-07-06,Agrawal-Dubey,Helmet 31,Sports,Helmet,4545,7441.84,1749825,0.55,14.68,A
234,234,Bengaluru,473,42,2026-07-20,Mahajan Group,Chair 234,Home,Chair,3688,5259.15,1744424,0.55,15.23,A
273,273,Bengaluru,480,60,2026-05-11,Raja Ltd,Jeans 273,Clothing,Jeans,3533,6136.22,1695840,0.54,15.77,A
246,246,Hyderabad,356,20,2026-06-22,Manne and Sons,Jacket 246,Clothing,Jacket,4745,6986.42,1689220,0.53,16.3,A
429,429,Mumbai,465,42,2026-05-18,Sani and Sons,Jeans 429,Clothing,Jeans,3622,6971.44,1684230,0.53,16.83,A
349,349,Bengaluru,346,28,2026-06-18,Palan-Naik,Lamp 349,Home,Lamp,4816,7248.22,1666336,0.53,17.36,A
316,316,Bengaluru,430,36,2026-06-18,"Mital, Mahajan and Lad",Gloves 316,Sports,Gloves,3872,7601.66,1664960,0.53,17.88,A
306,306,Delhi,428,23,2026-05-13,Devan-Sharma,Gloves 306,Sports,Gloves,3865,5738.32,1654220,0.52,18.41,A
35,35,Bengaluru,462,54,2026-06-02,Chopra Ltd,Football 35,Sports,Football,3580,4359.17,1653960,0.52,18.93,A
