CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
1,2,7,48032.09,4,1,1,411,Regular Customers
2,81,9,119368.91,2,2,3,223,Regular Customers
3,8,11,116553.53,4,3,3,433,Loyal Customers
4,55,13,117756.05,2,4,3,243,Regular Customers
5,43,11,101702.65,3,3,2,332,Regular Customers
6,97,10,126772.56,2,2,3,223,Regular Customers
7,164,3,11256.1,1,1,1,111,At Risk
8,3,17,215550.62,4,4,4,444,Champions
9,171,4,32585.11,1,1,1,111,At Risk
10,340,7,62177.54,1,1,1,111,At Risk
11,67,9,124697.79000000001,2,2,3,223,Regular Customers
12,13,8,83257.11,4,1,2,412,Regular Customers
13,194,6,93422.19,1,1,2,112,At Risk
14,42,11,85760.82,3,3,2,332,Regular Customers
15,20,11,116296.03,4,3,3,433,Loyal Customers
16,94,12,162833.04,2,3,4,234,Big Spenders
17,2,13,143507.91,4,4,4,444,Champions
18,85,14,145544.03,2,4,4,244,Big Spenders
19,52,10,103839.56,2,2,2,222,Regular Customers
20,24,9,166265.39,3,2,4,324,Big Spenders
21,71,10,70624.08,2,2,1,221,Regular Customers
22,10,8,48720.31,4,1,1,411,Regular Customers
23,70,10,126583.96,2,2,3,223,Regular Customers
24,103,9,105847.96,1,2,3,123,At Risk
25,26,14,169581.9,3,4,4,344,Big Spenders
26,87,16,113132.15,2,4,3,243,Regular Customers
27,4,9,93403.61,4,2,2,422,Regular Customers
28,15,7,60066.44,4,1,1,411,Regular Customers
29,103,11,83767.4,1,3,2,132,At Risk
30,40,11,128086.04,3,3,3,333,Regular Customers
31,98,10,65363.15,2,2,1,221,Regular Customers
32,77,10,82066.15,2,2,2,222,Regular Customers
33,36,13,117490.36,3,4,3,343,Regular Customers
34,23,8,140596.97,3,1,4,314,Big Spenders
35,128,10,115039.67,1,2,3,123,At Risk
36,42,9,129948.08,3,2,3,323,Regular Customers
37,104,6,92549.72,1,1,2,112,At Risk
38,3,9,67451.97,4,2,1,421,Regular Customers
39,3,9,97443.95,4,2,2,422,Regular Customers
40,161,11,132759.4,1,3,3,133,At Risk
41,20,7,71049.04999999999,4,1,1,411,Regular Customers
42,85,12,190605.37,2,3,4,234,Big Spenders
